publishedAt,title,source,date
2025-07-16T10:22:09Z,Schneider in talks to buy Temasek’s stake in Indian JV for $1 billion,Bloomberg,2025-07-17
2025-07-15T04:24:28Z,Tesla’s long-awaited India debut bets on luxury vehicle buyers,Bloomberg,2025-07-17
2025-07-15T03:10:36Z,India’s key stock market players eye Jane Street’s likely comeback,Bloomberg,2025-07-17
2025-07-14T07:02:29Z,Citigroup’s India commercial banking chief Vohra exits,Bloomberg,2025-07-17
2025-07-14T04:21:29Z,India pension funds said to request easier bond investment rules,Bloomberg,2025-07-17
2025-06-27,RBI drains $10 billion to lift short-term rates,Bloomberg
2025-06-27,"Indian REITs may stretch gains on RBI’s rate cuts, strong leasing",Bloomberg
2025-06-27,Walmart-backed Flipkart turns to videos and livestream to woo Indian online shoppers,Bloomberg
2025-07-02,RBI panel likely to recommend govt retains 4% inflation target,Bloomberg
2025-07-04,Indian insurers push for overhaul of bond valuation norms to boost debt market,Bloomberg
2025-07-09,"Indian stock market braces for volatile session after fresh copper, pharma tariffs",Bloomberg
2025-07-10,Indian IPOs set to raise up to $18 billion in second-half surge,Bloomberg
2025-07-10,Sluggish loan growth drags Indian banks’ bond sales to 11-year low,Bloomberg
2025-07-10,JM Financial sees Indian IPOs adding $3 trillion market value over decade,Bloomberg
